"","x","y","type"
"1",-4,0.000133830225764885,"Normal"
"2",-3.99199199199199,0.000138182046410498,"Normal"
"3",-3.98398398398398,0.000142666228042307,"Normal"
"4",-3.97597597597598,0.000147286481503254,"Normal"
"5",-3.96796796796797,0.000152046611333821,"Normal"
"6",-3.95995995995996,0.000156950517814782,"Normal"
"7",-3.95195195195195,0.00016200219904485,"Normal"
"8",-3.94394394394394,0.00016720575305353,"Normal"
"9",-3.93593593593594,0.000172565379949496,"Normal"
"10",-3.92792792792793,0.00017808538410479,"Normal"
"11",-3.91991991991992,0.000183770176375138,"Normal"
"12",-3.91191191191191,0.000189624276356684,"Normal"
"13",-3.9039039039039,0.000195652314679408,"Normal"
"14",-3.8958958958959,0.000201859035337517,"Normal"
"15",-3.88788788788789,0.000208249298057069,"Normal"
"16",-3.87987987987988,0.000214828080701088,"Normal"
"17",-3.87187187187187,0.000221600481712426,"Normal"
"18",-3.86386386386386,0.0002285717225946,"Normal"
"19",-3.85585585585586,0.000235747150430845,"Normal"
"20",-3.84784784784785,0.000243132240441603,"Normal"
"21",-3.83983983983984,0.000250732598580649,"Normal"
"22",-3.83183183183183,0.000258553964170059,"Normal"
"23",-3.82382382382382,0.000266602212574213,"Normal"
"24",-3.81581581581582,0.000274883357912987,"Normal"
"25",-3.80780780780781,0.000283403555814325,"Normal"
"26",-3.7997997997998,0.000292169106206322,"Normal"
"27",-3.79179179179179,0.000301186456148957,"Normal"
"28",-3.78378378378378,0.0003104622027056,"Normal"
"29",-3.77577577577578,0.000320003095854415,"Normal"
"30",-3.76776776776777,0.000329816041439723,"Normal"
"31",-3.75975975975976,0.000339908104163431,"Normal"
"32",-3.75175175175175,0.00035028651061658,"Normal"
"33",-3.74374374374374,0.000360958652351047,"Normal"
"34",-3.73573573573574,0.000371932088991451,"Normal"
"35",-3.72772772772773,0.000383214551387261,"Normal"
"36",-3.71971971971972,0.000394813944805093,"Normal"
"37",-3.71171171171171,0.000406738352161197,"Normal"
"38",-3.7037037037037,0.000418996037294058,"Normal"
"39",-3.6956956956957,0.00043159544827708,"Normal"
"40",-3.68768768768769,0.00044454522077123,"Normal"
"41",-3.67967967967968,0.000457854181417586,"Normal"
"42",-3.67167167167167,0.000471531351269624,"Normal"
"43",-3.66366366366366,0.000485585949265103,"Normal"
"44",-3.65565565565566,0.000500027395737409,"Normal"
"45",-3.64764764764765,0.000514865315966112,"Normal"
"46",-3.63963963963964,0.000530109543766577,"Normal"
"47",-3.63163163163163,0.000545770125118336,"Normal"
"48",-3.62362362362362,0.000561857321831991,"Normal"
"49",-3.61561561561562,0.00057838161525435,"Normal"
"50",-3.60760760760761,0.000595353710011453,"Normal"
"51",-3.5995995995996,0.000612784537789192,"Normal"
"52",-3.59159159159159,0.000630685261151105,"Normal"
"53",-3.58358358358358,0.000649067277392973,"Normal"
"54",-3.57557557557558,0.000667942222433796,"Normal"
"55",-3.56756756756757,0.000687321974742665,"Normal"
"56",-3.55955955955956,0.000707218659301081,"Normal"
"57",-3.55155155155155,0.000727644651600166,"Normal"
"58",-3.54354354354354,0.000748612581672245,"Normal"
"59",-3.53553553553554,0.000770135338156225,"Normal"
"60",-3.52752752752753,0.000792226072396121,"Normal"
"61",-3.51951951951952,0.00081489820257214,"Normal"
"62",-3.51151151151151,0.000838165417863603,"Normal"
"63",-3.5035035035035,0.000862041682643007,"Normal"
"64",-3.4954954954955,0.000886541240700502,"Normal"
"65",-3.48748748748749,0.00091167861949796,"Normal"
"66",-3.47947947947948,0.000937468634451866,"Normal"
"67",-3.47147147147147,0.000963926393244149,"Normal"
"68",-3.46346346346346,0.000991067300160059,"Normal"
"69",-3.45545545545546,0.0010189070604522,"Normal"
"70",-3.44744744744745,0.00104746168472971,"Normal"
"71",-3.43943943943944,0.0010767474933716,"Normal"
"72",-3.43143143143143,0.00110678112096323,"Normal"
"73",-3.42342342342342,0.00113757952075483,"Normal"
"74",-3.41541541541542,0.00116915996914087,"Normal"
"75",-3.40740740740741,0.00120154007015926,"Normal"
"76",-3.3993993993994,0.00123473776000907,"Normal"
"77",-3.39139139139139,0.00126877131158549,"Normal"
"78",-3.38338338338338,0.00130365933903088,"Normal"
"79",-3.37537537537538,0.00133942080230046,"Normal"
"80",-3.36736736736737,0.00137607501174126,"Normal"
"81",-3.35935935935936,0.001413641632683,"Normal"
"82",-3.35135135135135,0.00145214069003938,"Normal"
"83",-3.34334334334334,0.0014915925729182,"Normal"
"84",-3.33533533533534,0.00153201803923895,"Normal"
"85",-3.32732732732733,0.00157343822035606,"Normal"
"86",-3.31931931931932,0.00161587462568624,"Normal"
"87",-3.31131131131131,0.00165934914733831,"Normal"
"88",-3.3033033033033,0.00170388406474362,"Normal"
"89",-3.2952952952953,0.00174950204928538,"Normal"
"90",-3.28728728728729,0.00179622616892505,"Normal"
"91",-3.27927927927928,0.00184407989282385,"Normal"
"92",-3.27127127127127,0.00189308709595757,"Normal"
"93",-3.26326326326326,0.00194327206372255,"Normal"
"94",-3.25525525525526,0.00199465949653091,"Normal"
"95",-3.24724724724725,0.00204727451439301,"Normal"
"96",-3.23923923923924,0.00210114266148476,"Normal"
"97",-3.23123123123123,0.00215628991069791,"Normal"
"98",-3.22322322322322,0.00221274266817093,"Normal"
"99",-3.21521521521522,0.00227052777779815,"Normal"
"100",-3.20720720720721,0.00232967252571501,"Normal"
"101",-3.1991991991992,0.00239020464475689,"Normal"
"102",-3.19119119119119,0.00245215231888918,"Normal"
"103",-3.18318318318318,0.00251554418760605,"Normal"
